shortname,fullname
_N_E_NPDES, "National average for Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)"
_RAW_D_INDEX, "Raw data for Demographic Index"
_S_D_INDEX_PER, "State percentile for Demographic Index"
_R_D_INDEX_PER, "Regional percentile for Demographic Index"
_N_D_INDEX_PER, "National percentile for Demographic Index"
_S_D_INDEX, "State average for Demographic Index"
_R_D_INDEX, "Regional average for Demographic Index"
_N_D_INDEX, "National average for Demographic Index"
_RAW_D_MINOR, "Raw data for Minority Population"
_S_D_MINOR_PER, "State percentile for Minority Population"
_R_D_MINOR_PER, "Regional percentile for Minority Population"
_N_D_MINOR_PER, "National percentile for Minority Population"
_S_D_MINOR, "State average for Minority Population"
_R_D_MINOR, "Regional average for Minority Population"
_N_D_MINOR, "National average for Minority Population"
_RAW_D_INCOME, "Raw data for Low Income Population"
_S_D_INCOME_PER, "State percentile for Low Income Population"
_R_D_INCOME_PER, "Regional percentile for Low Income Population"
_N_D_INCOME_PER, "National percentile for Low Income Population"
_S_D_INCOME, "State average for Low Income Population"
_R_D_INCOME, "Regional average for Low Income Population"
_N_D_INCOME, "National average for Low Income Population"
_RAW_D_LING, "Raw data for Linguistically Isolated Population"
_S_D_LING_PER, "State percentile for Linguistically Isolated Population"
_R_D_LING_PER, "Regional percentile for Linguistically Isolated Population"
_N_D_LING_PER, "National percentile for Linguistically Isolated Population"
_S_D_LING, "State average for Linguistically Isolated Population"
_R_D_LING, "Regional average for Linguistically Isolated Population"
_N_D_LING, "National average for Linguistically Isolated Population"
_RAW_D_LESSHS, "Raw data for Population with Less Than High School Education"
_S_D_LESSHS_PER, "State percentile for Population with Less Than High School Education"
_R_D_LESSHS_PER, "Regional percentile for Population with Less Than High School Education"
_N_D_LESSHS_PER, "National percentile for Population with Less Than High School Education"
_S_D_LESSHS, "State average for Population with Less Than High School Education"
_R_D_LESSHS, "Regional average for Population with Less Than High School Education"
_N_D_LESSHS, "National average for Population with Less Than High School Education"
_RAW_D_UNDER5, "Raw data for Population under Age 5"
_S_D_UNDER5_PER, "State percentile for Population under Age 5"
_R_D_UNDER5_PER, "Regional percentile for Population under Age 5"
_N_D_UNDER5_PER, "National percentile for Population under Age 5"
_S_D_UNDER5, "State average for Population under Age 5"
_R_D_UNDER5, "Regional average for Population under Age 5"
_N_D_UNDER5, "National average for Population under Age 5"
_RAW_D_OVER64, "Raw data for Population over Age 64"
_S_D_OVER64_PER, "State percentile for Population over Age 64"
_R_D_OVER64_PER, "Regional percentile for Population over Age 64"
_N_D_OVER64_PER, "National percentile for Population over Age 64"
_S_D_OVER64, "State average for Population over Age 64"
_R_D_OVER64, "Regional average for Population over Age 64"
_N_D_OVER64, "National average for Population over Age 64"
